current mass in position 19,x_c,x_f
3.791,48.595,46
3.792,48.595,46
3.793,48.595,46
3.794,48.594,46
3.795,48.594,46
3.796,48.594,46
3.797,48.594,46
3.798,48.594,46
3.799,48.594,46
3.8,48.594,46
3.801,48.594,46
3.802,48.594,46
3.803,48.594,46
3.804,48.594,46
3.805,48.594,46
3.806,48.594,46
3.807,48.594,46
3.808,48.594,46
3.809,48.594,46
3.81,48.594,46
3.811,48.594,46
3.812,48.593,46
3.813,48.593,46
3.814,48.593,46
3.815,48.593,46
3.816,48.593,46
3.817,48.593,46
3.818,48.593,46
3.819,48.593,46
3.82,48.593,46
3.821,48.593,46
3.822,48.593,46
3.823,48.593,46
3.824,48.593,46
3.825,48.593,46
3.826,48.593,46
3.827,48.593,46
3.828,48.593,46
3.829,48.592,46
3.83,48.592,46
3.831,48.592,46
3.832,48.592,46
3.833,48.592,46
3.834,48.592,46
3.835,48.592,46
3.836,48.592,46
3.837,48.592,46
3.838,48.592,46
3.839,48.592,46
3.84,48.592,46
3.841,48.592,46
3.842,48.592,46
3.843,48.592,46
3.844,48.592,46
3.845,48.592,46
3.846,48.592,46
3.847,48.591,46
3.848,48.591,46
3.849,48.591,46
3.85,48.591,46
3.851,48.591,46
3.852,48.591,46
3.853,48.591,46
3.854,48.591,46
3.855,48.591,46
3.856,48.591,46
3.857,48.591,46
3.858,48.591,46
3.859,48.591,46
3.86,48.591,46
3.861,48.591,46
3.862,48.591,46
3.863,48.591,46
3.864,48.591,46
3.865,48.59,46
3.866,48.59,46
3.867,48.59,46
3.868,48.59,46
3.869,48.59,46
3.87,48.59,46
3.871,48.59,46
3.872,48.59,46
3.873,48.59,46
3.874,48.59,46
3.875,48.59,46
3.876,48.59,46
3.877,48.59,46
3.878,48.59,46
3.879,48.59,46
3.88,48.59,46
3.881,48.59,46
3.882,48.59,46
3.883,48.589,46
3.884,48.589,46
3.885,48.589,46
3.886,48.589,46
3.887,48.589,46
3.888,48.589,46
3.889,48.589,46
3.89,48.589,46
3.891,48.589,46
3.892,48.589,46
3.893,48.589,46
3.894,48.589,46
3.895,48.589,46
3.896,48.589,46
3.897,48.589,46
3.898,48.589,46
3.899,48.589,46
3.9,48.588,46
3.901,48.588,46
3.902,48.588,46
3.903,48.588,46
3.904,48.588,46
3.905,48.588,46
3.906,48.588,46
3.907,48.588,46
3.908,48.588,46
3.909,48.588,46
3.91,48.588,46
3.911,48.588,46
3.912,48.588,46
3.913,48.588,46
3.914,48.588,46
3.915,48.588,46
3.916,48.588,46
3.917,48.588,46
3.918,48.587,46
3.919,48.587,46
3.92,48.587,46
3.921,48.587,46
3.922,48.587,46
3.923,48.587,46
3.924,48.587,46
3.925,48.587,46
3.926,48.587,46
3.927,48.587,46
3.928,48.587,46
3.929,48.587,46
3.93,48.587,46
3.931,48.587,46
3.932,48.587,46
3.933,48.587,46
3.934,48.587,46
3.935,48.587,46
3.936,48.586,46
3.937,48.586,46
3.938,48.586,46
3.939,48.586,46
3.94,48.586,46
3.941,48.586,46
3.942,48.586,46
3.943,48.586,46
3.944,48.586,46
3.945,48.586,46
3.946,48.586,46
3.947,48.586,46
3.948,48.586,46
3.949,48.586,46
3.95,48.586,46
3.951,48.586,46
3.952,48.586,46
3.953,48.586,46
3.954,48.585,46
3.955,48.585,46
3.956,48.585,46
3.957,48.585,46
3.958,48.585,46
3.959,48.585,46
3.96,48.585,46
3.961,48.585,46
3.962,48.585,46
3.963,48.585,46
3.964,48.585,46
3.965,48.585,46
3.966,48.585,46
3.967,48.585,46
3.968,48.585,46
3.969,48.585,46
3.97,48.585,46
3.971,48.584,46
3.972,48.584,46
3.973,48.584,46
3.974,48.584,46
3.975,48.584,46
3.976,48.584,46
3.977,48.584,46
3.978,48.584,46
3.979,48.584,46
3.98,48.584,46
3.981,48.584,46
3.982,48.584,46
3.983,48.584,46
3.984,48.584,46
3.985,48.584,46
3.986,48.584,46
3.987,48.584,46
3.988,48.584,46
3.989,48.583,46
3.99,48.583,46
3.991,48.583,46
3.992,48.583,46
3.993,48.583,46
3.994,48.583,46
3.995,48.583,46
3.996,48.583,46
3.997,48.583,46
3.998,48.583,46
3.999,48.583,46
4.0,48.583,46
4.001,48.583,46
4.002,48.583,46
4.003,48.583,46
4.004,48.583,46
4.005,48.583,46
4.006,48.583,46
4.007,48.582,46
4.008,48.582,46
4.009,48.582,46
4.01,48.582,46
4.011,48.582,46
4.012,48.582,46
4.013,48.582,46
4.014,48.582,46
4.015,48.582,46
4.016,48.582,46
4.017,48.582,46
4.018,48.582,46
4.019,48.582,46
4.02,48.582,46
4.021,48.582,46
4.022,48.582,46
4.023,48.582,46
4.024,48.582,46
4.025,48.581,46
4.026,48.581,46
4.027,48.581,46
4.028,48.581,46
4.029,48.581,46
4.03,48.581,46
4.031,48.581,46
4.032,48.581,46
4.033,48.581,46
4.034,48.581,46
4.035,48.581,46
4.036,48.581,46
4.037,48.581,46
4.038,48.581,46
4.039,48.581,46
4.04,48.581,46
4.041,48.581,46
4.042,48.58,46
